,1NN,OT,OTc,UOT,UOTc,UOTn
C->A,23.7,44.99,44.78,44.99,45.09,44.99
C->W,25.76,32.88,32.88,32.88,33.56,33.56
C->D,25.48,38.85,38.85,38.85,38.85,38.85
A->C,26.0,32.06,32.41,31.79,32.32,32.32
A->W,29.83,27.8,28.14,28.14,27.8,27.12
A->D,25.48,30.57,31.85,31.21,31.85,31.21
W->C,19.86,33.57,32.95,33.21,33.13,33.13
W->A,22.96,29.96,29.65,30.58,30.38,30.38
W->D,59.24,82.17,80.25,82.8,82.8,80.89
D->C,26.27,29.03,29.3,29.3,29.39,29.39
D->A,28.5,19.94,20.35,20.77,20.56,20.67
D->W,63.39,76.61,76.61,76.95,76.61,76.61
avg,48.53,54.54,54.35,54.82,54.72,54.52
